TransactionID,Date,Store,City,ProductCategory,Sales,Customers,Satisfaction,DiscountPercent
1,2025-01-17,Store A,Toronto,Sports,2304.57,96.0,4.5,20
2,2024-05-09,Store A,Toronto,Books,1968.88,,4.0,10
3,2023-09-26,Store C,Hamilton,Clothing,1078.01,98.0,4.2,25
4,2025-03-21,Store G,Waterloo,Clothing,1329.69,86.0,3.1,0
5,2024-06-29,Store A,Toronto,Electronics,2323.4,102.0,4.7,15
6,2023-10-09,Store E,Kingston,Books,1277.3,58.0,3.5,0
7,2025-08-07,Store B,Ottawa,Clothing,1798.97,113.0,4.9,5
8,2024-07-30,Store F,Mississauga,Sports,2397.66,78.0,4.7,15
9,2023-07-10,Store H,Windsor,Food,1524.89,72.0,5.0,10
10,2025-07-08,Store C,Hamilton,Electronics,1599.62,85.0,4.1,10
11,2024-04-13,Store C,Hamilton,Sports,710.32,79.0,4.5,10
12,2024-09-26,Store G,Waterloo,Food,1225.61,64.0,4.0,0
13,2024-05-29,Store E,Kingston,Home,,50.0,4.2,5
14,2024-08-04,Store E,Kingston,Sports,1630.03,102.0,4.8,15
15,2024-04-16,Store A,Toronto,Clothing,1769.82,95.0,3.8,10
16,2025-07-26,Store C,Hamilton,Clothing,2325.81,78.0,3.8,20
17,2024-01-05,Store G,Waterloo,Home,1660.1,76.0,4.7,0
18,2023-03-05,Store G,Waterloo,Home,1403.06,111.0,3.5,0
19,2024-09-04,Store E,Kingston,Home,1657.65,55.0,4.8,10
20,2024-09-09,Store D,London,Books,1448.46,93.0,4.0,15
21,2023-11-18,Store C,Hamilton,Food,2486.65,57.0,3.9,10
22,2024-05-08,Store B,Ottawa,Sports,2001.8,58.0,3.8,15
23,2025-01-24,Store D,London,Electronics,1459.88,104.0,4.2,5
24,2024-05-07,Store B,Ottawa,Clothing,1534.25,86.0,5.0,0
25,2025-11-12,Store B,Ottawa,Home,1707.43,150.0,4.0,5
26,2025-01-06,Store F,Mississauga,Books,2345.9,120.0,4.0,0
27,2025-05-10,Store G,Waterloo,Clothing,1180.98,88.0,,0
28,2023-10-15,Store H,Windsor,Home,1534.64,68.0,4.1,25
29,2024-05-25,Store E,Kingston,Food,891.04,59.0,4.1,20
30,2023-05-17,Store B,Ottawa,Clothing,1524.4,31.0,4.0,0
31,2025-04-16,Store F,Mississauga,,2162.17,101.0,4.3,10
32,2023-07-10,Store B,Ottawa,Home,2006.03,74.0,4.3,15
33,2024-11-04,Store A,Toronto,Food,2088.1,160.0,4.0,0
34,2025-05-18,Store H,Windsor,Electronics,1378.69,77.0,3.8,25
35,2024-03-15,Store G,Waterloo,Books,1322.1,70.0,4.8,10
36,2024-05-02,Store D,London,Clothing,1957.25,61.0,4.2,5
37,2025-05-02,Store D,London,Home,1783.7,42.0,3.7,0
38,2023-04-24,Store B,Ottawa,Clothing,1878.49,121.0,4.9,10
39,2024-01-03,Store E,Kingston,Food,1783.55,133.0,4.3,0
40,2023-12-22,Store C,Hamilton,Food,2190.88,102.0,3.9,0
41,2025-03-06,Store D,London,Food,2187.42,72.0,4.4,0
42,2024-11-22,Store H,Windsor,Home,1573.47,105.0,3.6,10
43,2025-02-02,Store H,Windsor,Clothing,66.88,15.0,3.7,20
44,2023-04-01,Store F,Mississauga,Food,1863.57,63.0,4.2,0
45,2023-06-18,Store E,Kingston,,1098.34,105.0,3.8,5
46,2024-08-14,Store E,Kingston,Sports,1508.49,116.0,4.5,10
47,2024-01-27,Store A,Toronto,Food,2068.76,96.0,3.8,25
48,2023-11-01,Store G,Waterloo,Clothing,1631.53,69.0,,0
49,2024-01-21,Store E,Kingston,Food,1167.54,82.0,,0
50,2025-09-06,Store G,Waterloo,Electronics,1249.94,102.0,4.3,5
51,2023-05-22,Store A,Toronto,Electronics,1908.39,82.0,3.2,0
52,2023-06-28,Store G,Waterloo,Electronics,1070.89,109.0,3.9,0
53,2025-08-21,Store D,London,Food,1045.55,104.0,3.6,15
54,2023-05-02,Store F,Mississauga,Food,2239.67,106.0,4.1,5
55,2024-04-23,Store C,Hamilton,Electronics,1216.92,88.0,3.6,5
56,2023-11-06,Store C,Hamilton,Sports,1895.0,110.0,4.1,15
57,2023-08-17,Store B,Ottawa,Books,1826.54,125.0,4.2,0
58,2024-09-15,Store H,Windsor,Books,1708.33,87.0,,10
59,2023-04-02,Store A,Toronto,Food,2016.15,47.0,4.1,0
60,2023-05-17,Store A,Toronto,,961.67,41.0,4.6,0
61,2023-06-28,Store C,Hamilton,Sports,1665.23,35.0,4.0,25
62,2023-07-15,Store F,Mississauga,Food,1933.71,95.0,4.8,20
63,2023-04-20,Store A,Toronto,Food,1376.66,142.0,3.5,0
64,2024-10-09,Store A,Toronto,Home,1654.93,114.0,3.8,5
65,2023-02-14,Store D,London,Home,2190.0,130.0,4.2,15
66,2023-03-05,Store G,Waterloo,Home,1124.9,45.0,4.0,15
67,2023-03-24,Store C,Hamilton,Sports,1637.99,39.0,4.9,5
68,2023-12-01,Store D,London,Clothing,2281.61,91.0,4.0,10
69,2025-09-13,Store A,Toronto,Home,2270.86,48.0,4.1,5
70,2023-07-04,Store A,Toronto,Sports,1323.08,76.0,4.5,5
71,2023-04-23,Store H,Windsor,Sports,1563.02,80.0,3.4,5
72,2024-03-11,Store H,Windsor,Books,1807.38,136.0,4.1,20
73,2025-01-05,Store F,Mississauga,Home,2465.4,100.0,4.3,15
74,2024-05-15,Store C,Hamilton,,1803.64,54.0,3.8,15
75,2025-11-02,Store E,Kingston,Food,2224.65,59.0,4.5,0
76,2023-06-23,Store E,Kingston,Sports,9007.81,71.0,4.3,5
77,2024-11-16,Store H,Windsor,Electronics,2251.25,80.0,3.6,5
78,2025-05-09,Store D,London,Home,1523.65,72.0,3.9,5
79,2025-01-27,Store D,London,,1435.75,67.0,4.0,0
80,2025-06-22,Store D,London,Food,1685.15,66.0,3.7,25
81,2025-07-23,Store D,London,Electronics,1680.0,140.0,,5
82,2023-03-07,Store F,Mississauga,Books,1125.53,95.0,3.9,15
83,2024-01-11,Store B,Ottawa,Electronics,2110.86,41.0,4.2,0
84,2025-06-27,Store G,Waterloo,Books,1792.12,113.0,4.1,0
85,2024-02-13,Store E,Kingston,Books,511.6,77.0,4.2,15
86,2024-02-16,Store F,Mississauga,Electronics,1883.22,119.0,4.3,20
87,2024-01-11,Store D,London,Books,2268.0,70.0,3.7,10
88,2024-09-04,Store F,Mississauga,,1792.5,112.0,3.9,25
89,2025-01-23,Store E,Kingston,Food,785.2,40.0,3.6,0
90,2025-06-13,Store F,Mississauga,Books,2643.07,87.0,,0
91,2025-12-12,Store B,Ottawa,Clothing,2008.1,96.0,4.2,20
92,2023-07-13,Store B,Ottawa,Clothing,1314.55,32.0,,5
93,2025-12-01,Store G,Waterloo,Home,2411.88,104.0,4.3,0
94,2024-02-17,Store A,Toronto,Books,1595.71,33.0,4.1,5
95,2024-05-25,Store G,Waterloo,Sports,2004.15,49.0,4.4,5
96,2023-05-28,Store C,Hamilton,Home,1180.61,46.0,3.8,10
97,2025-03-11,Store D,London,Electronics,875.4,5.0,3.8,10
98,2025-10-11,Store D,London,Sports,1678.23,44.0,4.3,5
99,2025-05-15,Store A,Toronto,Sports,2157.18,106.0,4.2,5
100,2025-11-20,Store F,Mississauga,Food,2492.41,142.0,4.0,10
101,2023-08-26,Store F,Mississauga,Electronics,1485.25,85.0,3.6,0
102,2025-04-08,Store G,Waterloo,Food,2145.96,88.0,4.8,15
103,2024-07-26,Store C,Hamilton,Clothing,1596.67,111.0,4.4,20
104,2025-10-05,Store E,Kingston,Sports,1685.69,104.0,4.4,5
105,2024-03-10,Store G,Waterloo,Sports,1167.57,52.0,3.7,15
